,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT
2006-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-28,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.37947918309307865,0.0,0.6205208169069213,0.0,0.0,0.0,0.0,0.0
2006-04-28,0.4194323483410305,0.0,0.5805676516589695,0.0,0.0,0.0,0.0,0.0
2006-05-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2006-06-30,0.4234305946967674,0.0,0.5765694053032326,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2006-11-30,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2006-12-29,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2007-01-31,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2007-02-28,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2007-03-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2007-04-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2007-05-31,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2007-06-29,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2007-07-31,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2007-08-31,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
2007-09-28,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2007-10-31,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2007-11-30,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2007-12-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2008-01-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2008-02-29,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2008-03-31,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2008-04-30,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2008-05-30,0.30099925869570854,0.0,0.0,0.6990007413042916,0.0,0.0,0.0,0.0
